author,title,controlno,call_no
"Mühl, Gero",Distributed event-based systems,000001659304,005.758 006c
"Begin, Clinton",iBatis in action,000001318822,005.758 007a
"Croft, W. Bruce",Search engines : information retrieval in practice,000001346117,005.758 010a
"Croft, W. Bruce",Search engines : information retrieval in practice,000001725653,005.758 010a
"Labrinidis, Alexandros",Caching and materialization for web databases,000001804914,005.758 010b
"Hewitt, Eben",카산드라 완벽 가이드,000001186405,005.758 011가
김태희,(MySQL 실습을 통한) 데이터베이스이론 및 실습,000001182422,005.758 012가
김태희,(MySQL 실습을 통한) 데이터베이스이론 및 실습,000000797632,005.758 012가
"Croft, W. Bruce",검색엔진 : 최신정보검색론,000002071630,005.758 012갸
"Vukotic, Aleksa",Neo4j in action,000001981462,005.758 015a
문혜경,데이터베이스 스타트업,000001890138,005.758 017가
"Prusty, Narayan",이더리움을 활용한 블록체인 프로젝트 구축 : 쉽게 접하는 블록체인 개발,000001885335,005.758 018가
"Prusty, Narayan",이더리움을 활용한 블록체인 프로젝트 구축 : 쉽게 접하는 블록체인 개발,000001873874,005.758 018가
박재현,코어 이더리움 프로그래밍,000001897984,005.758 018갸
"Mukhopadhyay, Mayukh",이더리움 스마트 계약 개발 : 솔리디티를 사용한 블록체인기반 탈중앙화 애플리케이션 구축,000002032203,005.758 020가
"Ramamurthy, Bina",블록체인 인 액션,000002117957,005.758 021가
"Buterin, Vitalik",비탈릭 부테린 지분증명 : 이더리움 창시자가 밝히는 웹3.0과 돈의 미래,000002124396,005.758 022가
"International Workshop on Research Issues in Data Engineering-Distributed Object Management (5th : 1995 : Taipei, Taiwan)","RIDE-DOM '95, Fifth International Workshop on Research Issues in Data Engineering-Distributed Object Management : proceedings, March 6-7, 1995, Taipei, Taiwan",000001480835,005.758 95a
"Delaney, Kalen",Inside Microsoft SQL Server 2000,000001704263,005.7585 000a 
"Mukherjee, Joyjit","MCDBA SQL Server 2000 : installing, configuring, and administering study guide (exam 70-228)",000001705015,005.7585 000b
정원혁,(Microsoft)SQL server 2000,000001071358,005.7585 001갸
이영규,데이터베이스 이론과 SQL server 2000 실습,000001059967,005.7585 002
"Loney, Kevin",Oracle 9i : the complete reference,000001715084,005.7585 002a
"Adkoli, Anand",Oracle9i for Windows handbook,000001715008,005.7585 002b
"Riordan, Rebecca",Microsoft ADO.NET step by step,000001715021,005.7585 002c
"Loney, Kevin",Oracle9i DBA handbook,000001715027,005.7585 002d
"Urman, Scott",Oracle 9i PL/SQL programming,000001715007,005.7585 002e
"Theriault, Marlene",Oracle9i DBA 101,000001715192,005.7585 002f
"Ingram, Geoff",High performance Oracle : proven methods for achieving optimum performance and availability,000001715174,005.7585 002g
"Couchman, Jason S.",OCA Oracle9i associate DBA certification exam guide,000001715128,005.7585 002h
노창배,MS-SQL 데이터 베이스 웹 프로그래밍,000001078667,005.7585 002가
Microsoft Corporation,MCSE Exam 70-229 Microsoft SQL Server 2000 : Database Design and Implementation,000001084814,005.7585 002갸
Sybase Inc,InfoMaker 9,000001281644,005.7585 003a
김승렬,(정석)MS-SQL 실무 : MS-SQL 서버 2000중심으로,000001074760,005.7585 003가
정유진,(예제로 배우는)SQL SERVER 2000,000001074770,005.7585 003갸
"Utley, Craig",(실무예제로 따라 배우는)SQL Server 2000,000001074787,005.7585 003거
박정용,(그림으로 배우는) MS-SQL 서버 2000,000001076146,005.7585 003겨
주종면,오라클 : SQL 튜닝 & 서버튜닝,000001091679,005.7585 003고
김영희,(관계형 데이터베이스 이론과) Oracle 9i SQL＆OL/SQL,000001116327,005.7585 003교
주종면,오라클 데이터베이스 모델링,000001091681,005.7585 003구
"Lafler, Kirk Paul",PROC SQL : beyond the basics using SAS,000001299165,005.7585 004b
주종면,오라클 장애와 복구 & 네트워크 관리 : 오라클 10g new features 포함,000000111326,005.7585 004가
최원준,Oracle 10g 서브노트,000001091665,005.7585 004가
주종면,오라클 장애와 복구 & 네트워크 관리,000001097467,005.7585 004갸
"Hernandez, Michael J.",운명적 존재를 위한 SQL 쿼리,000001093310,005.7585 005가
김정환,(전산실무에 사용하는)데이터베이스 MySQL 응용방안,000001093276,005.7585 005갸
주종면,오라클 데이터베이스 모델링 & 성능 설계,000000066030,005.7585 005거
조성건,OCA ＆ OCP INTRO Fundamental,000001103803,005.7585 005거
"Vieira, Robert",Beginning SQL server 2005 programming,000001595863,005.7585 006a
성윤정,(클릭하세요) 오라클 10g + PL/SQL 입문,000000196488,005.7585 006가
권순용,(초보자를 위한) Oracle 10g,000001103616,005.7585 006가
성윤정,(클릭하세요)오라클 10g + PL/SQL 입문,000001107553,005.7585 006갸
우재남,(뇌를 자극하는) SQL Server 2005,000001107560,005.7585 006거
"Hancock, John C. (John Christian)",Practical business intelligence with SQL Server 2005,000001328521,005.7585 007a
"Ben-Gan, Itzik",Inside Microsoft SQL server 2005 : T-SQL programming,000001107558,005.7585 007가
김태근,(10g로 시작하는) 오라클 SQL&PL/SQL,000001128415,005.7585 007갸
손호성,SQL server 2005 완벽가이드,000001135187,005.7585 007거
"Gibson, Darril","MCITP SQL server 2005 database developer : exam guide (exams 70-431, 70-441, and 70-442)",000002029060,005.7585 008a
조준익,오라클 데이터베이스 해설,000001123602,005.7585 008가
"Beighley, Lynn",Head first SQL : 한 권으로 완성하는 표준 SQL 문법 백과,000000241972,005.7585 008갸
신경애,(단계적으로 배우는)데이터베이스와 한글 MS-SQL,000001123603,005.7585 008갸
주종면,(오라클 ACE가 해설하는) Oracle 10g administration,000001127908,005.7585 008거
김경수,SQL Server 2005 데이터베이스 실습,000001148079,005.7585 008겨
석상기,(오라클로 배우는) 데이터베이스 프로그래밍,000001173013,005.7585 008고
"DuBois, Paul","(한국어판) MySQL : MySQL의 사용, 관리, 프로그래밍을 위한 완벽 가이드",000001138836,005.7585 009가
이영걸,(213가지 예제와 함께 데이터베이스를 정복하는) SQL Server 2008 : 무작정 따라하기,000000794307,005.7585 009가
우청자,(사례로 배우는) 데이터베이스 모델링,000001137979,005.7585 009갸
조시형,오라클 성능 고도화 원리와 해법. 1,000001735851,005.7585 009거
김연홍,(함께하는) SQL server 2008 개발자 : Part 1,000001142912,005.7585 009겨
정홍주,(Microsoft) SQL server 2008 : 생각하는 초보 개발자용,000001145336,005.7585 009고
박장규,MySQL® 5.1 high availibility,000001148032,005.7585 009교
우재남,(뇌를 자극하는) SQL server 2008 : Corel painter 10,000001148080,005.7585 009구
이영걸,(213가지 예제와 함께 데이터베이스를 정복하는) SQL server 2008 : 무작정 따라하기,000001141911,005.7585 009규
장길상,Oracle을 활용한 database 실습,000001140714,005.7585 009그
박장규,MySQL® 5.1 user guide,000001148067,005.7585 009기
성윤정,오라클 11g＋PL/SQL 입문,000001140046,005.7585 009나
장시웅,오라클과 데이터베이스 프로그래밍,000001150906,005.7585 010가
"Nielsen, Paul",(실전) SQL server MVP 53 : 53인의 MVP가 알려주는 SQL 서버의 모든 것,000000772433,005.7585 010가
김지한,오라클 AWR을 이용한 고성능 데이터베이스 튜닝,000000805626,005.7585 010갸
조성건,SQL,000001150878,005.7585 010갸
오동규,(The)logical optimizer : 성능향상을 위한 트랜스포머의 SQL 재작성 전략,000001151080,005.7585 010거
"Hotek, Mike",(Microsoft) SQL Server 2008 : step by step,000001149956,005.7585 010겨
주종면,(오라클 Ace가 해설하는) Oracle backup & recovery,000001152396,005.7585 010고
"Debes, Norbert",시크릿 오브 오라클,000001154166,005.7585 010교
박종세,MySQL : 명령어&함수사전,000001165336,005.7585 010구
성지용,(실전) SQL server MVP 53 : 53인의 MVP가 알려주는 SQL 서버의 모든 것,000001166734,005.7585 010규
"Schwartz, Baron",(대용량 시스템 구축을 위한) MySQL 성능 최적화,000001166732,005.7585 010그
조동욱,"(오라클 ACE와 함께 하는) 오라클 성능 Q&A. 시즌1, 2009.5~2010.5",000001166964,005.7585 010기
"Karwin, Bill",SQL antipatterns ,000000792346,005.7585 011가
최원준,오라클 RAC / data guard : 서브노트,000001171457,005.7585 011가
조행남,오라클 database 11g와 함께하는 SQL과 PL/SQL,000001175598,005.7585 011갸
"Kyte, Thomas","(전문가를 위한) 오라클 데이터베이스 아키텍처 : 오라클 데이터베이스 9i, 10g, 11g 프로그래밍 기법과 해법",000000792537,005.7585 011갸
조동욱,오라클 성능 트러블슈팅의 기초,000001179145,005.7585 011거
우상정,SQLite 3 : 빠르게 활용하는 모바일 데이터베이스,000001179121,005.7585 011겨
우상정,SQLite 3 : 빠르게 활용하는 모바일 데이터베이스,000000840512,005.7585 011겨
"Kyte, Thomas","(전문가를 위한) 오라클 데이터베이스 아키텍처 : 오라클 데이터베이스 9i, 10g, 11g 프로그래밍 기법과 해법",000001180449,005.7585 011고
좌좌목달야 佐佐木達也,(빅 데이터 시대를 위한) NoSQL 핵심 가이드,000000860179,005.7585 011고
"Karwin, Bill",SQL antipatterns,000001180458,005.7585 011교
"Klein, Scott",(프로) SQL 애저 입문,000001182080,005.7585 011구
문성기,Oracle SQL,000001182430,005.7585 011규
성윤정,Oracle 11g programming : 데이터베이스 성능의 최적화,000001187415,005.7585 011그
좌좌목달야 佐々木達也,(빅 데이터 시대를 위한) NoSQL 핵심 가이드,000001190082,005.7585 011기
"Smirnova, Sveta",MySQL troubleshooting,000001644201,005.7585 012a
정진용,(소스관리 예제로 쉽게 배우는) MySQL 5.X,000001190295,005.7585 012가
김상훈,(관리자를 위한) SQL Sever 2012 운영 완벽가이드,000000843451,005.7585 012가
황혜정,(시작부터 활용까지) SQL server 2008,000001195263,005.7585 012갸
이장래,(이장래와 함께하는) SQL sever 2012 : 운영과 개발,000000860643,005.7585 012갸 
SQLTAG,(DB 성능 향상을 위한) SQL Server 운영과 튜닝,000001195618,005.7585 012거
이장래,(이장래와 함께하는) SQL sever 2012 : 운영과 개발,000001199734,005.7585 012겨
김상훈,(관리자를 위한) SQL Sever 2012 운영 완벽가이드,000001204432,005.7585 012고
"DuBois, Paul",MySQL,000001771921,005.7585 013a 
"Delaney, Kalen",(실전) SQL server MVP 61 : 그 두 번째 이야기,000000843726,005.7585 013가
주종면,(MongoDB Master가 해설하는) NoSQL & mongoDB,000001211074,005.7585 013가
"Smirnova, Sveta",MySQL troubleshooting,000001211069,005.7585 013갸
김규백,오라클 데이터베이스 보안 : 당신의 데이터는 안녕하십니까?,000000855386,005.7585 013갸
정경석,"이것이 레디스다 : 초고속 읽기 쓰기를 제공하는 인메모리 기반 NoSQL, Redis",000001226078,005.7585 013거
정경석,"이것이 레디스다 : 초고속 읽기 쓰기를 제공하는 인메모리 기반 NoSQL, Redis",000000904786,005.7585 013겨
권태돈,(권태돈과 함께하는) SQL server 2012 BI,000001226279,005.7585 013겨
"Ben-Gan, Itzik",T-SQL 프로그래밍 입문,000001224475,005.7585 013고
허태성,Oracle programming,000000871398,005.7585 013고
"Ben-Gan, Itzik",T-SQL 프로그래밍 입문,000000871695,005.7585 013교
한국데이터베이스진흥원,SQL 전문가 가이드,000001774461,005.7585 013교 
서진수,(쉬운 설명과 실전 예제가 가득한) 오라클 관리 실무,000001789555,005.7585 013구 
우재남,"(뇌를 자극하는) SQL Server 2012. 1, 기본편",000001859175,005.7585 013규
우재남,"(뇌를 자극하는) SQL Server 2012. 2, 관리/응용편",000001859174,005.7585 013규
미크,"(친절한 설명과 풍부한 그림으로 배우는) SQL 더 쉽게, 더 깊게",000001239645,005.7585 014가
"DuBois, Paul",MySQL : 효율적인 웹 애플리케이션 데이터베이스 운용 관리 가이드,000000886014,005.7585 014가
이원호,(데이터베이스 구축을 위한) SQL서버 2012 활용,000001241253,005.7585 014갸
이원호,(데이터베이스 구축을 위한) SQL서버 2012 활용,000000899435,005.7585 014갸
조준익 趙俊翼,UNIX 서버구축과 MySQL 강의노트,000000901047,005.7585 014거
조준익 趙俊翼,UNIX 서버구축과 MySQL 강의노트,000001242635,005.7585 014거
"Comeau, Andrew",MySQL explained : your step by step guide,000001769482,005.7585 015a 
조정순 朝井淳,SQL 첫걸음 : 하루 30분 36강으로 배우는 완전 초보의 SQL 따라잡기,000001761494,005.7585 015가
조정순 朝井淳,SQL 첫걸음 : 하루 30분 36강으로 배우는 완전 초보의 SQL 따라잡기,000001765626,005.7585 015가 
우재남,이것이 SQL Server다 : 실습으로 체험하고 바로 운영한다,000001826735,005.7585 016가
윤권,(Database language) SQL : yellow,000001776023,005.7585 016가 
밋쿠,SQL 레벨업 : DB 성능 최적화를 위한 SQL 실전 가이드,000001782025,005.7585 016갸
우재남,이것이 MySQL이다 : MySQL 설치부터 PHP 연동까지 한번에!,000001826734,005.7585 016갸
한국데이터진흥원,SQL 자격검정 실전문제 : 국가공인 SQL전문가·국가공인 SQL개발자,000001951925,005.7585 016거
PostgreSQL Global Development Group 비트나인,"PostgreSQL 9.4 공식 가이드. v. 2, SQL 언어",000001782892,005.7585 016거
우재남,이것이 MySQL이다 : MySQL 설치부터 PHP 연동까지 한번에!,000001794106,005.7585 016겨 
우재남,이것이 SQL Server다 : 실습으로 체험하고 바로 운영한다,000001797232,005.7585 016고
이장래,SQL Server 개발편 : 디비로 누리는 특별한 세상,000001857182,005.7585 017가
"Viescas, John",SQL 코딩의 기술 : 똑똑하게 코딩하는 법,000001885338,005.7585 017가
이장래,SQL Server 운영편 : 디비로 누리는 특별한 세상,000001857183,005.7585 017갸
"Viescas, John",SQL 코딩의 기술 : 똑똑하게 코딩하는 법,000001883435,005.7585 017거
이성욱,(대용량 데이터 처리를 위한 real) MongoDB,000001886326,005.7585 018가
가기장문 加嵜長門,"(데이터 분석을 위한) SQL 레시피 : 데이터 처리부터 매출·유저 파악, 리포팅 등 각종 데이터 분석과 활용까지",000001907821,005.7585 018가
김도연,모두의 SQL : 누구나 쉽게 배우는 데이터 분석 기초,000001919982,005.7585 018갸
김도연,모두의 SQL : 누구나 쉽게 배우는 데이터 분석 기초,000001927503,005.7585 018갸
가기장문 加崎長門,"데이터 분석을 위한 SQL 레시피 : 데이터 처리부터 매출·유저 파악, 리포팅 등 각종 데이터 분석과 활용까지",000001942975,005.7585 018거
이성욱,(대용량 데이터 처리를 위한 real) MongoDB,000001978460,005.7585 018거
임호진,(이기적) SQL 개발자(developer) 이론서+문제집 : 국가공인 자격검정,000001947441,005.7585 018겨
박상용,"(PostgreSQL로 시작하는) SQL 코딩입문. Part 1, 기본편",000001990016,005.7585 018겨
"Lafler, Kirk Paul",PROC SQL : beyond the basics using SAS,000001967926,005.7585 019a
"Lafler, Kirk Paul",PROC SQL : beyond the basics using SAS,000002034434,005.7585 019b
전익진,소설처럼 읽고 실행하는 SQL : 실전에서 바로 활용하는 SQL,000001944431,005.7585 019가
전익진,소설처럼 읽고 실행하는 SQL : 실전에서 바로 활용하는 SQL,000001951465,005.7585 019가
홍형경,누구나 쉽게 SQL,000001976541,005.7585 019갸
홍형경,누구나 쉽게 SQL,000001957325,005.7585 019갸
조시형,오라클 성능 고도화 원리와 해법 : 효율적이고 신뢰할 수 있는 데이터베이스 구축을 위한 실증적 방법론. 1,000002041031,005.7585 019거
조시형,오라클 성능 고도화 원리와 해법 : 효율적이고 신뢰할 수 있는 데이터베이스 구축을 위한 실증적 방법론. 2,000002041032,005.7585 019거
박성진,(MySQL과 모바일 웹으로 만나는) 데이터베이스의 정석,000001967043,005.7585 019거
유일환,SQL booster : 프로젝트 성공을 위한 SQL 필독서 : 개발자에게 필요한 오라클 SQL 실전서,000001984620,005.7585 019겨
우재남,"이것이 MySQL이다 : MySQL 설치부터 PHP, 파이썬 연동까지 한번에!",000002005232,005.7585 020가
주종면,(빅데이터 저장 및 분석을 위한) New NoSQL & mongoDB,000002005323,005.7585 020갸
한국데이터베이스진흥원,SQL 전문가 가이드,000002011611,005.7585 020갸
임호진,(이기적) SQL 개발자 이론서+기출문제 : 국가공인자격검정 SQLD,000002013196,005.7585 020거
우재남,"이것이 MySQL이다 : MySQL 설치부터 PHP, 파이썬 연동까지 한번에!",000002021215,005.7585 020거
김정현,(데이터 분석가와 개발자를 위한) MS SQL server 기본에서 실무까지,000002024243,005.7585 020겨
조시형,국가공인 SQLD 자격검정 핵심노트,000002034917,005.7585 020고
양바른,(업무에 바로 쓰는) SQL 튜닝 : 최적의 성능을 위한 MySQL/MariaDB 쿼리 작성과 튜닝 실습,000002067080,005.7585 021가
임호진,(이기적) SQL 개발자 : 이론서+기출문제 : 기본서,000002077667,005.7585 021가
판하석리 坂下夕里,그림으로 배우는 SQL 입문,000002074344,005.7585 021갸
도변결의 渡邉結衣,(기초가 탄탄해지는) DNS 실전 교과서,000002086971,005.7585 021갸
평산리 平山理,(그림으로 이해하는) SQL 서버의 구조,000002087454,005.7585 021거
평산리 平山理,(그림으로 이해하는) SQL 서버의 구조,000002114984,005.7585 021거
이경오,(시험장에 몰래 가져갈) 이경오의 SQL+SQLD 비밀노트,000002114177,005.7585 021겨
"Silberschatz, Abraham",데이터베이스 시스템,000002123892,005.7585 021고
정미나,(유튜브 선생님에게 배우는) 유·선·배 SQL개발자 과외노트,000002090458,005.7585 022가
강성욱,(Do it!) SQL 입문 : 비전공자도 개발자도 쉽게 배우는 기초 문법 + 실용 예제,000002118938,005.7585 022갸
김성식,SQL Server 튜닝 가이드 : 현장 이슈들을 축약하여 예시로 배워보는 족보집,000002103370,005.7585 022갸
강성욱,(Do it!) SQL 입문 : 비전공자도 개발자도 쉽게 배우는 기초 문법 + 실용 예제,000002115363,005.7585 022거
이용주,데이터베이스 시스템 개론과 MySQL 실습,000002115387,005.7585 022겨
임호진,(이기적) SQL 개발자 이론서 + 기출문제 : 기본서,000002117832,005.7585 022고
"Botros, Silvia",MySQL 성능 최적화 : 고성능 시스템 구축을 위한 전략과 최적화 기법,000002129781,005.7585 022교
"DuBois, Paul","(한국어판) MySQL : MySQL의 사용, 관리, 프로그래밍을 위한 완벽 가이드",000000106510,005.7585 M999 004가
권순용,(초보자를 위한) Oracle 10g,000000179577,005.7585 Or1 006가
장경상,오라클 10g : 구축과 활용,000000150550,005.7585 Or1 006갸
김태근,(열혈강의) 10g로 시작하는 오라클 SQL&PL/SQL,000000144898,005.7585 Or1 007가
홍형경,(뇌를 자극하는) 오라클 프로그래밍 : SQL&PL/SQL,000000250448,005.7585 Or1 008거
정승호,(모바일 애플리케이션) UX & UI 디자인 프로젝트,000001186816,005.76 011가
좌좌목달야 佐々木達也,웹 엔지니어의 교과서,000001820975,005.76 015가
"Katzenbeisser, Stefan","Information hiding techniques for steganography and digital watermarking / Stefan Katzenbeisser, Fabien A.P. Petitcolas, editors",000001572380,005.8 000b
"Merkow, Mark S",The complete guide to Internet security,000001561655,005.8 000c
"Schneier, Bruce",Secrets and lies : digital security in a networked world,000001574202,005.8 000f
"Tilborg, Henk C. A. van",Fundamentals of cryptology : a professional reference and interactive tutorial,000001711505,005.8 000g
"Anderson, Ross",Security engineering : a guide to building dependable distributed systems,000001564766,005.8 001b
"Housley, Russ",Planning for PKI : best practices guide for deploying public key infrastructure,000001559814,005.8 001c
주재연,(할수있다! 무차별 해킹대비) PC 보안 + 네트워크 쉽게 배우기,000001052602,005.8 001거
"Chun, Jongsuk",정보보호전문가 가이드북,000001068854,005.8 001구
"Northcutt, Stephen",네트워크 침입탐지와 해킹 분석 핸드북,000001056616,005.8 001그
이문구,인터넷 보안,000001068741,005.8 001너
황석훈,(보안 관리자가 알아야 할)네트워크 이론과 해킹 기법 : Hacking security,000001068002,005.8 002
"Chirillo, John","Hack attacks revealed : a complete reference for UNIX, Windows, and Linux with custom security toolkit",000001715126,005.8 002a
"Kaufman, Charlie",Network security : private communication in a public world,000001706894,005.8 002b
"Nichols, Randall K.","Wireless security : models, threats, and solutions",000001707485,005.8 002c
"Caloyannides, Michael A.",Desktop witness : the do's and don'ts of personal computer security,000001715073,005.8 002d
"Young, Mike",Mastering SQL Server 2000 security : (Gearhead Press - - In the trenches),000001715124,005.8 002e
"Stallings, William",High-speed networks and internets : performance and quality of service,000001706275,005.8 002f
"Vines, Russell Dean",Wireless security essentials : defending mobile systems from data piracy,000001252026,005.8 002g
"Levy, Steven",Crypto : secrecy and privacy in the new code war,000001954588,005.8 002q
"Kizza, Joseph Migga",Computer network security and cyber ethics,000002043162,005.8 002r
"Mitnick, Kevin David","(해킹,) 속임수의 예술",000001068877,005.8 002가
한국정보보호센터,정보보호개론 : 알기쉬운 정보보호 기술,000001068857,005.8 002갸
한국정보보호학회,정보보호 관리 및 정책,000001072291,005.8 002거
한국정보보호학회,차세대 네트워크 보안 기술,000001072292,005.8 002겨
한국정보보호학회,인터넷 정보 보안,000001072311,005.8 002고
최창진,(실전 예제로 배우는) 역 공격 해킹,000001105437,005.8 002교
"Stanger, James",리눅스 해킹 퇴치 비법,000001149736,005.8 002구
"Ahmad, David R. Mirza",네트웍 해킹 퇴치 비법,000001149827,005.8 002규
이창범 李昶範,아시아. 태평양 지역의 개인정보보호제도 현황 조사 및 연구,000000043733,005.8 002다
고민정,(인터넷 보안의 지름길) 정보보호개론,000000005950,005.8 002도
"Panko, R. R.",Corporate computer and network security,000001706980,005.8 003a
"Miller, Stewart S.",Wi-Fi security,000001712282,005.8 003b
"Ellis, Juanita",Internet security : a jumpstart for systems administrators and IT managers,000001266548,005.8 003e
"Stallings, William",Cryptography and network security : principles and practice,000001293186,005.8 003f
"ACM Workshop on Security and Privacy in Digital Rights Management (2nd : 2002 : Washington, DC)","Digital rights management : ACM CCS-9 workshop DRM 2002, Washington, DC, USA, November 18, 2002 : revised papers",000001305458,005.8 003g
"Erickson, Jon (Jon Mark)",Hacking : the art of exploitation,000001319130,005.8 003j
"Chirillo, John",Implementing biometric security,000001953533,005.8 003k
이요섭,PC 해킹 보안 기술과 활용,000001073677,005.8 003가
"Taylor, Art",(J2EE Java 개발자를 위한) 해킹과 보안,000001076304,005.8 003갸
"McClure, Stuart",(네트워크 시스템 관리자를 위한) 해킹과 보안,000001076305,005.8 003거 
남궁운평,내 PC에 도둑이 들었어요! : PC보안 가이드,000001078518,005.8 003겨
정철현 鄭喆鉉,PKI : 전자서명과 인증제도,000000031263,005.8 003고
정승민,(쉽게 풀어 쓴) PKI,000001091673,005.8 003교
"Russell, Ryan",네트워크를 훔쳐라 : 상상을 초월하는 세계 최고 해커들의 이야기,000001091378,005.8 003구
"Miles, Wyman",솔라리스 해킹과 보안,000001097119,005.8 003규
류승우,(hacker4u의)해킹 보안 노트 破,000001104512,005.8 003그
"Beale, Jay",스노트 2.0 마술상자 : 오픈 소스 IDS의 마법에 빠져볼까,000001113912,005.8 003기
한국. 특허청,(2003 신기술동향조사 보고서) 네트워크 보안기술,000000069949,005.8 003느
"Shinder, Debra Littlejohn",사이버 범죄 소탕작전 컴퓨터 포렌식 핸드북,000000128986,005.8 003더
"Peltier, Thomas R",Information security policies and procedures : a practitioner's reference,000001309342,005.8 004L
"Maiwald, Eric",Fundamentals of network security,000001710094,005.8 004a
"Galloway, Alexander R.",Protocol : how control exists after decentralization,000001295506,005.8 004a
"IWDW 2003 (2003 : Seoul, Korea)","Digital watermarking : second international workshop, IWDW 2003, Seoul, Korea, October 20-22, 2003 : revised papers",000001286165,005.8 004b
"Orebaugh, Angela",Ethereal : packet sniffing,000001710100,005.8 004b
"Beale, Jay",Snort 2.1 intrusion detection,000001715418,005.8 004c
International Workshop on Practice and Theory in Public Key Cryptography (7th : 2004 : Singapore),"Public key cryptography - PKC 2004 : 7th International Workshop on Theory and Practice in Public Key Cryptography, Singapore, March 1-4, 2004 : proceedings",000001282276,005.8 004c
"Strebe, Matthew",Network security foundations,000001293919,005.8 004g
"Beaver, Kevin",Hacking for dummies,000001299136,005.8 004i
"Westby, Jody R.",International guide to cyber security,000001317564,005.8 004k
장태종,차세대 시큐리티 기술 : 국내외 정보보호 시스템 기술 및 시장 동향 분석. 2004.6,000001100530,005.8 004가
윤종호 尹鍾浩,(윈도우 서버와 프로토콜 분석기를 활용한) 네트워크 보안 프로토콜,000000066171,005.8 004고
"Szor, Peter",The art of computer virus research and defense,000001631621,005.8 005L
"Molva, refik",Security and privacy in ad-hoc and sensor networks,000001714015,005.8 005a
"Windley, Phillip J.",Digital identity,000001315524,005.8 005f
"Cranor, Lorrie Faith",Security and usability : designing secure systems that people can use,000001585844,005.8 005k
"Pejaś, Jerzy","Enhanced methods in computer security, biometric and artificial intelligence systems",000001953554,005.8 005m
"Mitnick, Kevin D.",해킹 침입의 드라마,000001093556,005.8 005가
이만영,(최신) 정보보호개론,000001093764,005.8 005갸
"Verton, Dan",해커 다이어리,000001094511,005.8 005거
최경철,(熱血講義) 웹 보안,000001097142,005.8 005겨
윤종호 尹鍾浩,무선 LAN 보안 프로토콜,000000072142,005.8 005고
홍석범,리눅스 서버 보안관리 실무,000001097101,005.8 005고
"Pfleeger, Charles P.",컴퓨팅 보안,000000106875,005.8 005교
"Stallings, William",컴퓨터 통신보안,000001097478,005.8 005교
황순일,웹 해킹 패턴과 대응,000001102798,005.8 005구
"Levy, Steven",암호 혁명,000001103099,005.8 005규
"Pfleeger, Charles P.",컴퓨팅 보안,000001104005,005.8 005그
김평섭 金平涉,인권과 국가안전보장 : [정보보안과 경호안전을 중심으로],000000152421,005.8 005기
윤종호,무선 LAN 보안 프로토콜,000001107198,005.8 005기
신승중,정보보호의 기초,000001147948,005.8 005나
"Knipp, Eric",시스코 : 네트워크 보안,000001149826,005.8 005냐
"Steel, Christopher","Core security patterns : best practices and strategies for J2EE, Web services, and identity management",000001715884,005.8 006a
"Zeng, Wenjun",Multimedia security technologies for digital rights management,000002029068,005.8 006b
"Stallings, William",Cryptography and network security : principles and practice,000001314882,005.8 006b
"Noonan, Wesley J",Firewall fundamentals,000001320660,005.8 006e
"Gollmann, Dieter",Computer security,000001326573,005.8 006v
"Skoudis, Ed",Counter hack reloaded : a step-by-step guide to computer attacks and effective defenses,000001327179,005.8 006w
"Stamp, Mark",Information security : principles and practice,000001590765,005.8 006x
"Easttom, Chuck",(쉽게 설명한) 컴퓨터 보안 개론,000000196583,005.8 006갸
최준림,네트워크 보안 SoC 설계,000001107204,005.8 006갸
"Stamp, Mark","정보보안 이론과 실제 : 암호, 접근제어, 프로토콜, 소프트웨어",000000167681,005.8 006거
김성우,"해킹, 파괴의 광학",000001109756,005.8 006거
홍승필,유비쿼터스 컴퓨팅 보안,000001116460,005.8 006겨
"Stamp, Mark","정보보안 이론과 실제 : 암호, 접근제어, 프로토콜, 소프트웨어",000001237217,005.8 006고 
홍승필,유비쿼터스 컴퓨팅 보안,000000181074,005.8 006교
"Sklavos, Nicolas",Wireless security and cryptography : specifications and implementations,000001716085,005.8 007a
"Pfleeger, Charles P.",Security in computing,000001309251,005.8 007d
"Anley, Chris",The shellcoder's handbook : discovering and exploiting security holes,000001359340,005.8 007g
"Herrmann, Debra S","Complete guide to security and privacy metrics : measuring regulatory compliance, operational resilience, and ROI",000001603801,005.8 007h
"Rash, Michael","Linux firewalls : attack detection and response with iptables, psad, and fwsnort",000001624340,005.8 007i
"Sutton, Michael",Fuzzing : brute force vulnerabilty discovery,000001631178,005.8 007j
"Dowd, Mark",The art of software security assessment : identifying and preventing software vulnerabilities,000001631176,005.8 007k
"Chandra, Praphul","완벽 무선보안 : GSM, UMTS, 802.11, and Ad Hoc security",000001128132,005.8 007갸
황성운,디지털 저작권 관리(DRM) : 소유에서 사용 권리로의 이동,000001128084,005.8 007거
"Long, Johnny",(오픈소스 툴킷을 이용한) 실전해킹 절대내공,000001134850,005.8 007겨
"Stallings, William",네트워크 보안 에센셜,000000161632,005.8 007고
"Hoglund, Greg",루트킷 : 윈도우 커널 조작의 미학,000001149962,005.8 007고
"Howard, Michael",윈도우 비스타 보안 프로그래밍 : Best practices,000001149961,005.8 007교
홍춘표,정보보호 이론 및 실습,000000156459,005.8 007구
